seed	s	gen	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score_25	iDAT_score_125	iDAT_score_0625	iDAT_score_01
1000	0.1	1000	0.5	0.9985584	1	0.5895564	0.0143392	0.01660166	0.77505	14.21453	14.14562	0.1529683	14.70825	0	0	1297.289	0	-Inf	-Inf	-Inf	-Inf
100	0.1	1000	0.5	0.9977969	1	0.5737971	0.01601364	0.01491779	0.785	14.39881	14.35346	0.1745911	14.986	0	0	1305.361	0	-Inf	-Inf	-Inf	-Inf
101	0.1	1000	0.5	0.998793	1	0.5805774	0.01468723	0.01594453	0.7729	14.28169	14.17816	0.171867	14.8033	0	0	1311.072	0	-Inf	-Inf	-Inf	-Inf
102	0.1	1000	0.5	0.998687	1	0.6045162	0.01547191	0.0139496	0.79165	14.03972	14.1408	0.1712646	14.89732	0	0	1285.256	0	-Inf	-Inf	-Inf	-Inf
103	0.1	1000	0.5	0.9991849	1	0.5634819	0.01466122	0.01719018	0.7598	14.13897	14.13619	0.1157243	14.72766	0	0	1308.681	0	-Inf	-Inf	-Inf	-Inf
104	0.1	1000	0.5	0.9985867	1	0.5941211	0.01575916	0.01002025	0.79965	13.98214	14.07432	0.1642005	14.81465	0	0	1289.858	0	-Inf	-Inf	-Inf	-Inf
105	0.1	1000	0.5	0.9981308	1	0.5865592	0.01471586	0.01506859	0.76935	13.88352	13.92324	0.1207801	14.48746	0	0	1297.99	0	-Inf	-Inf	-Inf	-Inf
106	0.1	1000	0.5	0.9956369	1	0.555343	0.01543266	0.01847004	0.76365	14.38168	14.34942	0.08577316	14.83042	0	0	1312.026	0	-Inf	-Inf	-Inf	-Inf
107	0.1	1000	0.5	0.9956592	1	0.5567669	0.01439247	0.01729155	0.7618	14.36241	14.30295	0.07692216	14.71156	0	0	1307.045	0	-Inf	-Inf	-Inf	-Inf
108	0.1	1000	0.5	0.9980556	1	0.5846042	0.01428928	0.01644704	0.776525	14.16104	14.18787	0.1677357	14.8699	0	0	1301.272	0	-Inf	-Inf	-Inf	-Inf
109	0.1	1000	0.5	0.999288	1	0.5847	0.01555265	0.01436249	0.7811	13.95295	13.87132	0.3979967	14.64279	0	0	1299.026	0	-Inf	-Inf	-Inf	-Inf
10	0.1	1000	0.5	0.9992475	1	0.5773143	0.0149694	0.01036334	0.78555	13.86505	13.95418	0.1622027	14.72498	0	0	1304.743	0	-Inf	-Inf	-Inf	-Inf
110	0.1	1000	0.5	0.9995301	1	0.5623129	0.01521227	0.01761457	0.77615	14.13292	14.05997	0.2065958	14.61917	0	0	1304.612	0	-Inf	-Inf	-Inf	-Inf
111	0.1	1000	0.5	0.997916	1	0.5772728	0.01477262	0.01522198	0.77555	14.02909	14.11427	0.1301363	14.79111	0	0	1297.999	0	-Inf	-Inf	-Inf	-Inf
